layer,strip,end,mpv,factor
1,0,0,428.5180735888613,1.4282
1,1,0,444.5101864239982,1.3768
1,2,0,418.2635974444649,1.4632
1,3,0,385.2108609634128,1.5887
1,4,0,463.5428169280486,1.3203
1,5,0,454.0689371770189,1.3478
1,6,0,533.3786369899298,1.1474
1,7,0,484.3828642240729,1.2635
2,0,0,459.27503669707545,1.3325
2,1,0,513.235762722157,1.1924
2,2,0,485.54559219741714,1.2604
2,3,0,467.37040284693103,1.3095
2,4,0,477.69933429705657,1.2811
2,5,0,463.1307628330697,1.3214
2,6,0,552.3649274623535,1.108
2,7,0,661.1378468954326,0.9257
3,0,0,732.4461435222511,0.8356
3,1,0,711.5071774358872,0.8601
3,2,0,562.0690397564964,1.0888
3,3,0,627.4576304994989,0.9754
3,4,0,693.3812972666263,0.8826
3,5,0,671.8820466825615,0.9109
3,6,0,630.5114117309226,0.9706
3,7,0,734.8620084529211,0.8328
4,0,0,731.1426170794273,0.837
4,1,0,551.7311527706332,1.1092
4,2,0,703.1894575440126,0.8703
4,3,0,647.1315231017873,0.9457
4,4,0,918.8139553973464,0.6661
4,5,0,741.6428834935916,0.8252
4,6,0,720.9941769084109,0.8488
4,7,0,693.5287336191496,0.8824
5,0,0,701.7338938706322,0.8721
5,1,0,736.6815327954077,0.8308
5,2,0,762.9601084105685,0.8021
5,3,0,782.3822257992439,0.7822
5,4,0,639.0014152266226,0.9577
5,5,0,726.6804006210325,0.8422
5,6,0,713.9260385782891,0.8572
5,7,0,717.9885076003202,0.8524
6,0,0,735.6770907883567,0.8319
6,1,0,733.9824241674283,0.8338
6,2,0,657.3445394516508,0.931
6,3,0,817.6473710874153,0.7485
6,4,0,630.7219590905329,0.9703
6,5,0,669.0822076984014,0.9147
6,6,0,693.5682179322966,0.8824
6,7,0,685.3430767144112,0.893
7,0,0,567.0800098252931,1.0792
7,1,0,502.7368742080269,1.2173
7,2,0,603.2392729582376,1.0145
7,3,0,566.836188237795,1.0797
7,4,0,511.2053814315668,1.1972
7,5,0,549.3043495925908,1.1141
7,6,0,591.394448184417,1.0348
7,7,0,460.64765762026553,1.3286
8,0,0,626.1712782532976,0.9774
8,1,0,594.8416695228483,1.0288
8,2,0,708.3846109249884,0.8639
8,3,0,622.8056187633634,0.9827
8,4,0,526.1357570321309,1.1632
8,5,0,587.1235947925138,1.0424
8,6,0,726.163747338229,0.8428
8,7,0,696.097355027537,0.8792
9,0,0,564.2040746177137,1.0847
9,1,0,617.6674509961013,0.9908
9,2,0,612.9447142751561,0.9985
9,3,0,626.2020780906144,0.9773
9,4,0,588.3265252192044,1.0402
9,5,0,590.8088631250087,1.0359
9,6,0,673.3363844092617,0.9089
9,7,0,599.7877598123063,1.0204
10,0,0,612.5255007932282,0.9991
10,1,0,645.4155433208483,0.9482
10,2,0,544.5585179994041,1.1238
10,3,0,592.093714215338,1.0336
10,4,0,610.3903413620341,1.0026
10,5,0,564.942768877645,1.0833
10,6,0,571.668887121046,1.0705
10,7,0,641.1507459831996,0.9545
10,8,0,648.6451396641615,0.9435
10,9,0,606.2781551330269,1.0094
10,10,0,644.5370587069406,0.9495
10,11,0,661.5210353848476,0.9251
11,0,0,581.8547484192164,1.0518
11,1,0,652.4888002096635,0.9379
11,2,0,703.8021762742816,0.8696
11,3,0,690.8011101410183,0.8859
11,4,0,606.3314569001058,1.0093
11,5,0,566.050383124499,1.0812
11,6,0,528.0554406960696,1.159
11,7,0,643.4890548989135,0.9511
11,8,0,642.581068787419,0.9524
11,9,0,588.494454387239,1.0399
11,10,0,620.1818346724644,0.9868
11,11,0,668.0792152926871,0.9161
1,0,1,428.9299241016219,1.4268
1,1,1,496.9717819095765,1.2315
1,2,1,483.60720290120616,1.2655
1,3,1,483.5009483343868,1.2658
1,4,1,447.0303639980771,1.369
1,5,1,454.41624213353055,1.3468
1,6,1,526.557617398889,1.1623
1,7,1,459.3678382430533,1.3323
2,0,1,542.3874054125,1.1283
2,1,1,442.5407928523482,1.3829
2,2,1,479.1308602215215,1.2773
2,3,1,466.65018172665447,1.3115
2,4,1,431.21907929477504,1.4192
2,5,1,428.4270243316026,1.4285
2,6,1,460.4464032426786,1.3291
2,7,1,586.0088027818184,1.0444
3,0,1,610.7831302851744,1.002
3,1,1,532.482400805365,1.1493
3,2,1,670.4678946896972,0.9128
3,3,1,612.9702383224187,0.9984
3,4,1,694.8782381741629,0.8807
3,5,1,649.1905094991641,0.9427
3,6,1,698.180799815989,0.8766
3,7,1,565.4507449092616,1.0823
4,0,1,634.9193974198536,0.9639
4,1,1,645.1506621770881,0.9486
4,2,1,560.236870602992,1.0924
4,3,1,627.9354793965616,0.9746
4,4,1,649.6765388363526,0.942
4,5,1,736.8718326793191,0.8305
4,6,1,654.7565612314634,0.9347
4,7,1,682.7598806579509,0.8964
5,0,1,703.2721788237435,0.8702
5,1,1,701.902377740795,0.8719
