layer,strip,end,multiplier,mpv,eta,sigma,A,chi_square
1,0,0,16,428.51807358886134,30.324174592648504,94.23184950425117,987.5387528181768,77.42683703270157
1,1,0,14,444.5101864239982,35.45284189086955,93.26962444550534,1747.1482444336011,82.29705678673706
1,2,0,18,418.2635974444649,32.249381263106386,80.16641412731794,4610.802242583202,138.0620858975776
1,3,0,15,385.21086096341276,38.882319844212624,65.52656051135898,6057.313536593174,806.3900954897766
1,4,0,10,463.5428169280486,35.30681253376184,104.6251205738832,2915.380895614443,561.6510610796239
1,5,0,14,454.06893717701894,28.24769290752043,108.24162370744165,1219.9960276982686,171.74779948534368
1,6,0,12,533.3786369899298,65.39639465071242,119.82922461908618,403.0951162758032,196.48372273975306
1,7,0,10,484.3828642240729,55.6158803133907,105.1244478124966,276.7744649112816,91.67951262216874
2,0,0,16,459.27503669707545,37.60461375049468,101.53561240178793,863.5158192154661,184.1213018371469
2,1,0,17,513.235762722157,58.5250122692158,107.81685844229041,1074.8791432781645,132.36454825635667
2,2,0,15,485.54559219741714,45.81142139494342,97.07167026713583,3263.8437956452276,317.31640729177315
2,3,0,12,467.37040284693103,48.52510425080612,89.64335150178277,4045.9912789155283,528.5782227390814
2,4,0,18,477.69933429705657,47.6276499748904,91.41484691542703,3102.8355271630057,243.6411404120995
2,5,0,16,463.1307628330697,47.3186158057709,92.22341035042,1771.37485620743,109.32904410221717
2,6,0,8,552.3649274623535,71.59126062705103,161.41593454666966,436.6654097350873,251.8522532013994
2,7,0,8,661.1378468954326,47.74552715272076,213.0817191701227,281.18996979146937,179.4347662843968
3,0,0,12,732.4461435222511,39.43667216824459,157.9722924671211,656.660472907496,275.26957826164346
3,1,0,13,711.5071774358872,39.485287836917436,165.66418574721843,1208.8667415151328,573.5731648371107
3,2,0,12,562.0690397564964,51.00548180430949,131.5720197806184,3022.723251946937,380.1653880339519
3,3,0,24,627.4576304994989,55.032673516790446,84.32995313385649,4094.69293820483,237.80075600252704
3,4,0,22,693.3812972666263,53.11567129182966,121.08428032111102,2298.9244103883184,152.5077760575273
3,5,0,20,671.8820466825615,62.478577840376616,131.93063518351565,904.0498036840949,173.77963320305693
3,6,0,18,630.5114117309226,53.74606256782999,121.84056776913229,427.1968496293881,102.94624842897635
3,7,0,8,734.8620084529211,47.49863957020903,203.81334897246293,188.54285384312718,269.82545339411007
4,0,0,12,731.1426170794273,53.2522570365234,170.72600327988965,583.0487389843587,292.5464246646685
4,1,0,12,551.7311527706332,62.58863497460001,144.22283569120737,896.2519388340669,271.5780079441583
4,2,0,12,703.1894575440126,38.364898403277465,166.7284774198922,2399.783654958368,682.9777205105559
4,3,0,13,647.1315231017873,42.39088325982778,143.48138358727195,3189.1902556811865,957.6020807482931
4,4,0,12,918.8139553973465,54.493419186797176,176.46352255116366,2043.3972440359737,469.9767673082056
4,5,0,12,741.6428834935916,33.35643609198309,181.27311281997814,1303.5931117362538,614.5702071022774
4,6,0,14,720.9941769084109,42.791322863057886,182.99610363816964,467.87203350227537,238.1855913725914
4,7,0,12,693.5287336191496,56.57333305196726,160.70474053891863,339.3589917973118,215.93355316116364
5,0,0,22,701.7338938706322,33.5200508966378,140.63702522435827,749.9660789745963,339.9229615538362
5,1,0,25,736.6815327954077,45.04673058630669,139.00446875863892,1337.662991297384,402.8752159731087
5,2,0,25,762.9601084105685,47.78254726763187,132.40465613625489,2991.4382039413017,550.7996886137421
5,3,0,22,782.3822257992439,50.386863253655,126.97146741310563,3634.1828121248236,248.01010668436564
5,4,0,22,639.0014152266226,47.080382659994484,116.56140007016973,2574.4081100690228,247.83875538077527
5,5,0,26,726.6804006210325,49.9217798259755,142.57911979601062,934.3044511161092,178.29230606951373
5,6,0,24,713.9260385782891,49.34974128643478,142.47866258961625,422.0732919451371,133.09837997252478
5,7,0,30,717.9885076003202,46.02608725613323,143.63501031511,255.9869048080175,42.77585172194502
