layer,strip,end,multiplier,low,upper
1,0,0,16,140,820
1,1,0,14,180,860
1,2,0,18,180,820
1,3,0,15,100,1400
1,4,0,10,100,900
1,5,0,14,140,860
1,6,0,12,10,2000
1,7,0,10,180,1400
2,0,0,16,140,940
2,1,0,17,180,1100
2,2,0,15,180,1020
2,3,0,12,180,1020
2,4,0,18,180,980
2,5,0,16,180,980
2,6,0,8,20,2000
2,7,0,8,100,1420
3,0,0,12,260,1340
3,1,0,13,180,1300
3,2,0,12,180,1220
3,3,0,24,380,1220
3,4,0,22,340,1340
3,5,0,20,300,1800
3,6,0,18,260,1460
3,7,0,8,140,1600
4,0,0,12,220,1800
4,1,0,12,180,1600
4,2,0,12,220,1300
4,3,0,13,220,1220
4,4,0,12,420,1660
4,5,0,12,220,1340
4,6,0,14,220,1380
4,7,0,12,140,1860
5,0,0,22,220,1180
5,1,0,25,300,1460
5,2,0,25,340,1380
5,3,0,22,420,1340
5,4,0,22,300,1180
5,5,0,26,340,1340
5,6,0,24,300,1340
5,7,0,30,300,1380
6,0,0,10,200,1380
6,1,0,23,260,1600
6,2,0,22,340,1260
6,3,0,19,420,1800
6,4,0,23,340,1600
6,5,0,27,300,1800
6,6,0,19,220,1380
6,7,0,19,180,1220
7,0,0,12,200,1180
7,1,0,9,100,1140
7,2,0,15,260,1220
7,3,0,13,220,1140
7,4,0,10,140,1880
7,5,0,10,100,1140
7,6,0,10,220,1480
7,7,0,14,140,1180
8,0,0,14,140,1220
8,1,0,12,140,1800
8,2,0,20,340,1600
8,3,0,14,220,2000
8,4,0,10,140,1180
8,5,0,12,140,1300
8,6,0,10,220,1340
8,7,0,15,240,1660
9,0,0,15,140,1140
9,1,0,15,220,1180
9,2,0,15,300,1140
9,3,0,14,260,1180
9,4,0,16,260,1140
9,5,0,12,180,1500
9,6,0,14,180,1380
9,7,0,16,220,1500
10,0,0,23,340,1100
10,1,0,20,260,1220
10,2,0,20,300,1060
10,3,0,12,180,1260
10,4,0,14,260,1180
10,5,0,12,260,1700
10,6,0,18,340,1100
10,7,0,12,220,1300
10,8,0,14,250,1260
10,9,0,18,250,1100
10,10,0,11,250,1020
10,11,0,18,200,1360
11,0,0,13,140,1100
11,1,0,10,100,1420
11,2,0,16,380,1400
11,3,0,15,220,1640
11,4,0,12,220,1180
11,5,0,12,220,1140
11,6,0,12,220,1640
11,7,0,10,260,1180
11,8,0,15,200,1300
11,9,0,10,200,1140
11,10,0,14,200,1060
11,11,0,10,60,1260
1,0,1,8,60,1400
1,1,1,14,60,1740
1,2,1,22,220,980
1,3,1,12,160,1400
1,4,1,14,140,900
1,5,1,14,100,1340
1,6,1,8,60,1100
1,7,1,9,100,980
2,0,1,25,220,1140
2,1,1,20,180,980
2,2,1,15,180,1020
2,3,1,10,180,1360
2,4,1,15,100,1500
2,5,1,20,180,900
2,6,1,13,100,1020
2,7,1,15,180,1220
3,0,1,16,260,1280
3,1,1,12,180,1060
3,2,1,18,340,1300
3,3,1,18,300,1500
3,4,1,20,340,1300
3,5,1,20,300,1180
3,6,1,16,300,1300
3,7,1,12,180,1180
4,0,1,19,10,2000
4,1,1,24,380,1260
4,2,1,20,300,1100
4,3,1,21,340,1180
4,4,1,21,300,1220
4,5,1,23,380,1380
4,6,1,11,140,1220
4,7,1,12,180,1260
5,0,1,21,220,1440
5,1,1,22,300,1300
5,2,1,24,340,1420
5,3,1,24,200,1760
5,4,1,17,10,2000
5,5,1,25,300,1580
5,6,1,20,220,1300
5,7,1,27,300,1260
6,0,1,15,220,1480
6,1,1,25,260,1180
6,2,1,21,260,1500
6,3,1,19,300,1480
6,4,1,19,340,1260
6,5,1,19,220,1220
6,6,1,25,260,1060
6,7,1,18,180,1200
7,0,1,18,260,1480
7,1,1,17,220,1180
7,2,1,9,260,1140
7,3,1,18,300,1500
7,4,1,10,180,1500
7,5,1,15,180,1220
7,6,1,17,180,1140
7,7,1,13,10,2000
8,0,1,14,180,1400
8,1,1,12,140,1180
8,2,1,12,220,1220
8,3,1,16,300,1260
8,4,1,10,300,1220
8,5,1,16,220,1300
8,6,1,15,180,1260
8,7,1,14,100,1300
9,0,1,16,220,1300
9,1,1,17,300,1560
9,2,1,10,140,1100
9,3,1,10,260,1140
9,4,1,21,260,1220
9,5,1,17,220,1220
