layer,strip,end,pedestal,std_dev,pedestal_per_time_sample,new_range,new_range2,new_range3
1,0,0,758.972625739554,9.674627406843134,95,910.7671508874648,807.3457627737697,855.7188998079854
1,0,1,832.4269469437457,11.046367796459077,105,998.9123363324948,887.6587859260411,942.8906249083366
1,1,0,757.1973186971387,14.564193596544063,95,908.6367824365664,830.018286679859,902.8392546625794
1,1,1,773.318374335406,18.8560474564577,95,927.9820492024872,867.5986116176945,961.878848899983
1,2,0,736.016914935919,10.38766981347635,91,883.2202979231027,787.9552640033007,839.8936130706825
1,2,1,827.8387639461348,10.88832225539713,103,993.4065167353616,882.2803752231205,936.7219865001061
1,3,0,735.1870374414598,11.93845109832898,91,882.2244449297517,794.8792929331047,854.5715484247496
1,3,1,820.393520990051,13.267025268627002,103,984.4722251880612,886.728647333186,953.063773676321
1,4,0,829.9473630017093,12.376214624731327,103,995.9368356020512,891.8284361253659,953.7095092490225
1,4,1,760.1652531906134,11.554757447313044,95,912.198303828736,817.9390404271786,875.7128276637438
1,5,0,794.0031683093775,11.602905751342352,99,952.803801971253,852.0176970660893,910.032225822801
1,5,1,743.0263200823169,10.948169319774031,93,891.6315840987803,797.7671666811871,852.5080132800573
1,6,0,818.8865386263205,11.566822974013151,103,982.6638463515848,876.7206534963863,934.5547683664521
1,6,1,839.2696347255545,12.186270440075385,105,1007.1235616706654,900.2009869259314,961.1323391263084
1,7,0,709.9323086142322,20.57473456743701,87,851.9187703370786,812.8059814514172,915.6796542886023
1,7,1,844.6594237637527,12.099228018552123,105,1013.5913085165032,905.1555638565133,965.651703949274
2,0,0,763.0554360560621,10.364760759566824,95,915.6665232672746,814.8792398538963,866.7030436517304
2,0,1,762.1601886979593,10.188697228564305,95,914.5922264375512,813.1036748407807,864.0471609836023
2,1,0,773.2430070078573,11.914896089593745,95,927.8916084094288,832.817487455826,892.3919679037947
2,1,1,818.7270912951168,10.89246845458494,103,982.47250955414,873.1894335680415,927.6517758409661
2,2,0,769.1671069707082,12.38546712384476,95,923.00052836485,831.094442589932,893.0217782091559
2,2,1,837.4817357062889,12.897305826932657,105,1004.9780828475466,901.9682648409522,966.4547939756154
2,3,0,852.4751360525246,13.94853388096267,107,1022.9701632630296,922.2178054573379,991.9604748621513
2,3,1,859.0164556255927,13.278626315040531,107,1030.8197467507111,925.4095872007954,991.8027187759981
2,4,0,747.0263255200215,11.282990513782622,93,896.4315906240257,803.4412780889346,859.8562306578477
2,4,1,759.3325212978068,10.42369638190956,95,911.199025557368,811.4510032073546,863.5694851169023
2,5,0,763.069939744422,11.508397908175002,95,915.6839276933064,820.6119292852969,878.153918826172
2,5,1,757.5180617837568,10.481787942739258,95,909.021674140508,809.9270014974531,862.3359412111494
2,6,0,855.1259023354564,12.759742145554307,107,1026.1510828025478,918.924613063228,982.7233237909995
2,6,1,815.3415087204867,10.630347642986369,103,978.409810464584,868.4932469354185,921.6449851503503
2,7,0,852.4914951624967,14.056468493651288,107,1022.989794194996,922.7738376307532,993.0561800990096
2,7,1,829.601415008987,12.78660107357395,103,995.5216980107843,893.5344203768568,957.4674257447265
3,0,0,723.1024905974739,15.977147548920833,91,867.7229887169686,802.9882283420781,882.8739660866822
3,0,1,767.4952439868437,16.15033941831168,95,920.9942927842123,848.2469410784021,928.9986381699605
3,1,0,723.5523290470919,15.517701297970774,91,868.2627948565103,801.1408355369458,878.7293420267997
3,1,1,730.6527147320639,15.693899500993515,91,876.7832576784767,809.1222122370315,887.5917097419991
3,2,0,777.4971420742985,16.134845074822106,95,932.996570489158,858.171367448409,938.8455928225196
3,2,1,859.3325493419801,19.367728066457072,107,1031.1990592103762,956.1711896742654,1053.0098300065508
3,3,0,810.9311783529793,17.624854935137947,101,973.1174140235752,899.055453028669,987.1797277043587
3,3,1,755.0697256179066,17.99469143444419,95,906.0836707414878,845.0431827901275,935.0166399623484
3,4,0,734.5362860765479,17.08559017269283,93,881.4435432918574,819.964236940012,905.3921878034762
3,4,1,783.4018211517244,17.4670508108896,99,940.0821853820692,870.7370752061724,958.0723292606204
3,5,0,838.5790532048596,16.85675663042256,105,1006.2948638458316,922.8628363569724,1007.1466195090852
3,5,1,830.1201318043042,16.96131254116624,103,996.144158165165,914.9266945101353,999.7332572159665
3,6,0,786.5760301066477,16.837996466056456,99,943.8912361279772,870.76601243693,954.9559947672124
3,6,1,843.2253494874185,19.168088316152563,105,1011.870419384902,939.0657910681813,1034.906232648944
3,7,0,790.6604299928927,17.80854018405837,99,948.7925159914712,879.7031309131845,968.7458318334764
3,7,1,762.1499635795121,16.065322022997837,95,914.5799562954144,842.4765736945013,922.8031838094905
4,0,0,844.4602666533817,19.713655796219864,105,1013.352319984058,943.028545634481,1041.5968246155803
4,0,1,759.5039916371624,17.05055903733921,95,911.4047899645948,844.7567868238584,930.0095820105545
4,1,0,818.3780716539724,16.65409595576732,103,982.0536859847668,901.648551432809,984.9190312116456
